hs_code,description,uom,custom_duty_code
0101.2100,Pure-bred breeding animals,,0
0101.2900,Other,,0
0101.3000,Asses,,0
0101.9000,Other,,0
0102.2110,Bulls,,0
0102.2120,Cows,,0
0102.2130,Oxen,,0
0102.2190,Other,,0
0102.2910,Bulls,,0
0102.2920,Cows,,0
0102.2930,Oxen,,0
0102.2990,Other,,0
0102.3100,Pure-bred breeding animals,,0
0102.3900,Other,,0
0102.9000,Other,,0
0103.1000,Pure- bred breeding animals,,20
0103.9100,Weighing less than 50 kg,,20
0103.9200,Weighing 50 kg or more,,20
0104.1000,Sheep,,0
0104.2000,Goats,,0
0105.1100,Fowls of the species Gallus domesticus (chicken),,5
0105.1200,Turkeys,,0
0105.1300,Ducks,,0
0105.1400,Geese,,0
0105.1500,Guinea fowls,,0
0105.9400,Fowls of the species Gallus domesticus (chicken),,5
0105.9900,Other,,0
0106.1100,Primates,,0
0106.1200,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals,sea lions and walruses (mammals of the suborder Pinnipedia)",,0
0106.1300,Camels and other camelids (Camelidae),,0
0106.1400,Rabbits and hares,,0
0106.1900,Other,,0
0106.2000,Reptiles (including snakes and turtles),,0
0106.3110,Falcons,,0
0106.3190,Other,,0
0106.3200,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)",,0
0106.3300,Ostriches; emus (Dromaius novaehollandiae),,0
0106.3900,Other,,0
0106.4100,Bees,,0
0106.4900,Other,,0
0106.9000,Other,,0
0201.1000,Carcasses and half- carcasses,,0
0201.2000,Other cuts with bone in,,0
0201.3000,Boneless,,0
0202.1000,Carcasses and half- carcasses,,0
0202.2000,Other cuts with bone in,,0
0202.3000,Boneless,,0
0203.1100,Carcasses and half-carcasses,,20
0203.1200,"Hams, shoulders and cuts thereof, with bone in",,20
0203.1900,Other,,20
0203.2100,Carcasses and half-carcasses,,20
0203.2200,"Hams, shoulders and cuts thereof, with bone in",,20
0203.2900,Other,,20
0204.1000,"Carcasses and half carcasses of lamb, fresh or chilled",,0
0204.2100,Carcasses and half-carcasses,,0
0204.2200,Other cuts with bone in,,0
0204.2300,Boneless,,0
0204.3000,"Carcasses and half- carcasses of lamb, frozen",,0
0204.4100,Carcasses and half-carcasses,,0
0204.4200,Other cuts with bone in,,0
0204.4300,Boneless,,0
0204.5000,Meat of goats,,0
0205.0000,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen.",,20
0206.1000,"Of bovine animals, fresh or chilled",,5
0206.2100,Tongues,,0
0206.2200,Livers,,0
0206.2900,Other,,0
0206.3000,"Of swine, fresh or chilled",,20
0206.4100,Livers,,20
0206.4900,Other,,20
0206.8000,"Other, fresh or chilled",,0
0206.9000,"Other, frozen",,0
0207.1100,"Not cut in pieces, fresh or chilled",,20
0207.1200,"Not cut in pieces, frozen",,20
0207.1300,"Cuts and offal, fresh or chilled",,20
0207.1400,"Cuts and offal, frozen",,20
0207.2400,"Not cut in pieces, fresh or chilled",,20
0207.2500,"Not cut in pieces, frozen",,20
0207.2600,"Cuts and offal, fresh or chilled",,20
0207.2700,"Cuts and offals, frozen",,20
0207.4100,"Not cut in pieces, fresh or chilled",,20
0207.4200,"Not cut in pieces, frozen",,20
0207.4300,"Fatty livers, fresh or chilled",,20
0207.4400,"Other, fresh or chilled",,20
0207.4500,"Other, frozen",,20
0207.5100,"Not cut in pieces, fresh or chilled",,20
0207.5200,"Not cut in pieces, frozen",,20
0207.5300,"Fatty livers, fresh or chilled",,20
0207.5400,"Other, fresh or chilled",,20
0207.5500,"Other, frozen",,20
0207.6000,Of guinea fowls,,20
0208.1000,Of rabbits or hares,,20
0208.3000,Of primates,,20
0208.4000,"Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia)",,20
0208.5000,Of reptiles (including snakes and turtles),,20
0208.6000,Of camels and other camelids (Camelidae),,20
0208.9000,Other,,20
0209.1000,Of pigs,,20
0209.9000,Other,,20
0210.1100,"Hams, shoulders and cuts thereof, with bone in",,20
0210.1200,Bellies (streaky) and cuts thereof,,20
0210.1900,Other,,20
0210.2000,Meat of bovine animals,,20
0210.9100,Of primates,,20
0210.9200,"Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia)",,20
0210.9300,Of reptiles (including snakes and turtles),,20
0210.9900,Other,,20
0301.1100,Freshwater,,10
0301.1900,Other,,10
0301.9100,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",,10
0301.9200,Eels (Anguilla spp.),,10
0301.9300,"Carp (Crprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp.,Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)",,10
0301.9400,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)",,10
0301.9500,Southern bluefin tunas (Thunnus maccoyii),,10
0301.9900,Other,,10
0302.1100,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus, aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",,10
0302.1300,"Pacific salmon (Oncorhynchus nerka,Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)",,10
0302.1400,Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho),,10
0302.1900,Other,,10
0302.2100,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)",,10
0302.2200,Plaice (Pleuronectes platessa),,10
0302.2300,Sole (Solea spp.),,10
0302.2400,Turbots (Psetta maxima),,10
0302.2900,Other,,10
0302.3100,Albacore or longfinned tunas (Thunnus alalunga),,10
0302.3200,Yellowfin tunas (Thunnas albacares),,10
0302.3300,Skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis),,10
0302.3400,Bigeye tunas(Thunnus obesus),,10
0302.3500,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)",,10
0302.3600,Southern bluefin tunas (Thunnus maccoyii),,10
0302.3900,Other,,10
0302.4100,"Herrings (Clupea harengus, Clupea pallasii)",,10
0302.4200,Anchovies (Engraulis spp.),,10
0302.4300,"Sardines (Sardina pilchardus, Sardinops spp.), sardinella (sardinella spp.), brisling or sprats (Sprattus Sprattus)",,10
0302.4400,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",,10
0302.4500,Jack and horse mackerel (Trachurus spp.),,10
0302.4600,Cobia (Rachycentron canadum),,10
0302.4700,Swordfish (Xiphias gladius),,10
0302.4900,Other,,10
0302.5100,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",,10
0302.5200,Haddock (Melanogrammus aeglefinus),,10
0302.5300,Coalfish (Pollachius virens),,10
0302.5400,"Hake (Merluccius spp., Urophycis spp.)",,10
0302.5500,Alaska Pollock (Theragra chalcogramma),,10
0302.5600,"Blue whitings (Micromesistius poutassou, Micromesistius australis)",,10
0302.5900,Other,,10
